imdb_id,script_id,title,year,gross (inflation-adjusted),link
tt0075314,3505,Taxi Driver,1976,,http://www.imsdb.com/Movie Scripts/Taxi Driver Script.html
tt0075612,7678,3 Women,1977,,three women-treatment.pdf
tt0075686,682,Annie Hall,1977,152,film_20100519/all_imsdb_05_19_10/Annie-Hall.html
tt0076095,7134,The Goodbye Girl,1977,,"GOODBYE GIRL, THE (1977) by Neil Simon [1976.12] [3rd] [Scan].pdf"
tt0076590,7237,Rabid,1977,,Rabid.pdf
tt0076637,8446,Rolling Thunder,1977,,ROLLING THUNDER (1977) by Paul Schrader.pdf
tt0076729,4978,Smokey and the Bandit,1977,495,http://www.dailyscript.com/scripts/Smokey%20And%20The%20Bandit.txt
tt0076759,1362,Star Wars: Episode IV - A New Hope,1977,1798,film_20100519/all_imsdb_05_19_10/Star-Wars-A-New-Hope.html
tt0077294,7179,Capricorn One,1978,,Capricorn_One.pdf
tt0077405,848,Days of Heaven,1978,,film_20100519/all_imsdb_05_19_10/Days-of-Heaven.html
tt0077416,853,The Deer Hunter,1978,,"film_20100519/all_imsdb_05_19_10/Deer-Hunter,-The.html"
tt0077474,8395,The Driver,1978,,Walter Hills screenplay for The Driver.pdf
tt0077651,6836,Halloween,1978,174,Halloween-Carpenter&amp;Hill(1978).pdf
tt0077681,8901,The Hills Have Eyes,1977,,http://indiegroundfilms.files.wordpress.com/2014/01/the-hills-have-eyes-1976-numbered.pdf
tt0077766,2671,Jaws 2,1978,382,http://www.horrorlair.com/scripts/jaws2_revised_final_draft.txt
tt0077928,1155,Midnight Express,1978,130,film_20100519/all_imsdb_05_19_10/Midnight-Express.html
tt0078444,8219,An Unmarried Woman,1978,,"Unmarried Woman, An.pdf"
tt0078748,1576,Alien,1979,6,http://www.dailyscript.com/scripts/alien_shooting.html
tt0078788,1676,Apocalypse Now,1979,16,http://www.imsdb.com/Movie Scripts/Apocalypse Now Script.html
tt0078841,1802,Being There,1979,,http://www.imsdb.com/Movie Scripts/Being There Script.html
tt0078902,1921,Breaking Away,1979,,http://www.imsdb.com/Movie Scripts/Breaking Away Script.html
tt0079100,4158,The Electric Horseman,1979,,http://www.dailyscript.com/scripts/theelectrichorseman.pdf
tt0079116,6113,Escape from Alcatraz,1979,126,Escape From Alcatraz.pdf
tt0079268,6958,Hanover Street,1979,,Hanover Street (1977.07).pdf
tt0079271,4333,Hardcore,1979,,http://www.dailyscript.com/scripts/Hardcore.txt
tt0079308,8157,Hot Stuff,1979,,Hot Stuff (1979).pdf
tt0079367,4454,The Jerk,1979,,"http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Jerk,_The.pdf"
tt0079417,4489,Kramer vs. Kramer,1979,367,http://www.awesomefilm.com/script/kramerVsKramer.txt
tt0079638,7129,Norma Rae,1979,,"NORMA RAE by Irving Ravetch and Harriet Frank, Jr..pdf"
tt0079660,8450,Old Boyfriends,1979,,OLD BOYFRIENDS (1979) 1977.12.12 draft by Paul Schrader and Leonard Schrader and Joan Tewkesbury.pdf
tt0079817,7875,Rocky II,1979,,Rocky ll [10-25-1978] [Scan].pdf
tt0079945,5025,Star Trek: The Motion Picture,1979,285,http://www.dailyscript.com/scripts/startrek01.html
tt0080025,6455,Time After Time,1979,,Time After Time.pdf
tt0080319,4710,Nine to Five,1980,333,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Nine_to_Five.pdf
tt0080339,648,Airplane!,1980,269,film_20100519/all_imsdb_05_19_10/Airplane.html
tt0080365,7955,American Gigolo,1980,,American Gigolo (1980).pdf
tt0080487,7206,Caddyshack,1980,128,Caddyshack.pdf
tt0080549,4030,Coal Miner's Daughter,1980,258,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Coal_Miner%27s_Daughter.pdf
tt0080678,886,The Elephant Man,1980,,"film_20100519/all_imsdb_05_19_10/Elephant-Man,-The.html"
tt0080684,3433,Star Wars: Episode V - The Empire Strikes Back,1980,937,http://www.scifiscripts.com/scripts/esb_final.txt
tt0080745,2299,Flash Gordon,1980,,http://www.imsdb.com/Movie Scripts/Flash Gordon Script.html
tt0080761,2334,Friday the 13th,1980,121,http://www.horrorlair.com/scripts/Friday1.txt
tt0080798,8572,Gloria,1980,,GLORIA (1980) by John Cassavetes [5th draft rev. 1979.09.24].pdf
tt0080979,8434,Kagemusha,1980,,Kagemusha (Akira Kurosawa & Masato Ide).pdf
tt0081150,4607,Melvin and Howard,1980,,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Melvin_and_Howard.pdf
tt0081184,8604,Motel Hell,1980,,Motel Hell (1980) [5-19-1980].pdf
tt0081207,7219,My Bodyguard,1980,,My Bodyguard (1980).pdf
tt0081283,3042,Ordinary People,1980,177,http://www.imsdb.com/Movie Scripts/Ordinary People Script.html
tt0081375,8308,Private Benjamin,1980,225,Private Benjamin (11-20-79).pdf
tt0081383,6154,Prom Night,1980,,Prom Night (1980).pdf
tt0081398,3169,Raging Bull,1980,,http://www.imsdb.com/Movie Scripts/Raging Bull Script.html
tt0081455,6613,Scanners,1981,,Scanners.pdf
tt0081480,7132,Seems Like Old Times,1980,,Seems Like Old Times.pdf
tt0081505,3325,The Shining,1980,,"http://www.imsdb.com/Movie Scripts/Shining, The Script.html"
tt0081534,4998,Somewhere in Time,1980,,http://www.dailyscript.com/scripts/somewhereintime.pdf
tt0081568,3461,The Stunt Man,1980,,"http://www.imsdb.com/Movie Scripts/Stuntman, The Script.html"
tt0081573,5072,Superman II,1980,349,http://www.scifiscripts.com/scripts/superman_II_shoot.txt
tt0082010,674,An American Werewolf in London,1981,,film_20100519/all_imsdb_05_19_10/American-Werewolf-in-London.html
tt0082031,1700,Arthur,1981,298,http://www.imsdb.com/Movie Scripts/Arthur Script.html
tt0082089,1872,Body Heat,1981,,http://www.imsdb.com/Movie Scripts/Body Heat Script.html
tt0082288,868,Dragonslayer,1981,18,film_20100519/all_imsdb_05_19_10/Dragonslayer.html
tt0082340,2239,Escape from New York,1981,78,http://www.imsdb.com/Movie Scripts/Escape From New York Script.html
tt0082398,6100,For Your Eyes Only,1981,194,For Your Eyes Only_Reduced.pdf
tt0082449,7324,Ghost Story,1981,,Ghost Story (1981).pdf
tt0082474,4303,The Great Muppet Caper,1981,,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Great_Muppet_Caper.pdf
tt0082495,6837,Halloween II,1981,79,Halloween 2 (1981) [1981-3-12] [Shoot.] [Scan].pdf
tt0082533,4381,The Howling,1981,56,http://movie-scripts.net/H/Howling_The.pdf
tt0082763,7697,Modern Problems,1981,,Modern Problems (1981).pdf
tt0082846,4744,On Golden Pond,1981,372,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-On_Golden_Pond.pdf
tt0082971,1034,Raiders of the Lost Ark,1981,9,film_20100519/all_imsdb_05_19_10/Indiana-Jones-and-the-Raiders-of-the-Lost-Ark.html
tt0083190,5114,Thief,1981,13,http://www.dailyscript.com/scripts/thief.pdf
tt0083511,1532,48 Hrs.,1982,224,http://www.imsdb.com/Movie Scripts/48 Hrs. Script.html
tt0083530,650,Airplane II: The Sequel,1982,,film_20100519/all_imsdb_05_19_10/Airplane-2-The-Sequel.html
tt0083658,1849,Blade Runner,1982,4,http://www.imsdb.com/Movie Scripts/Blade Runner Script.html
tt0083767,6549,Creepshow,1982,,Creepshow (1979) [Scan].pdf
tt0083833,2158,Diner,1982,41,http://www.imsdb.com/Movie Scripts/Diner Script.html
tt0083908,4183,Evil Under the Sun,1982,13,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Evil_Under_the_Sun.pdf
tt0083929,906,Fast Times at Ridgemont High,1982,,film_20100519/all_imsdb_05_19_10/Fast-Times-at-Ridgemont-High.html
tt0083967,2316,Frances,1982,14,http://www.imsdb.com/Movie Scripts/Frances Script.html
tt0083972,4235,Friday the 13th Part III,1982,107,http://www.horrorlair.com/scripts/friday13th3.txt
tt0083987,2368,Gandhi,1982,,http://www.dailyscript.com/scripts/Gandhi.txt
tt0084434,4738,An Officer and a Gentleman,1982,384,"http://www.dailyscript.com/scripts/Officer+And+A+Gentleman,+An.txt"
tt0084602,7876,Rocky III,1982,47,Rocky III [2-26-1981] [Scan].pdf
tt0084675,4948,Shoot the Moon,1982,,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Shoot_the_Moon.pdf
tt0084726,7311,Star Trek II: The Wrath of Khan,1982,42,Star Trek II - The Wrath of Khan.pdf
tt0084805,8360,Tootsie,1982,523,Tootsie.pdf
tt0084827,1393,TRON,1982,97,film_20100519/all_imsdb_05_19_10/TRON.html
tt0084855,3654,The Verdict,1982,159,"http://www.imsdb.com/Movie Scripts/Verdict, The Script.html"
tt0085333,8189,Christine,1983,58,CHRISTINE (1983) by Bill Phillips [1983.02.16] [Scan].pdf
tt0085382,6540,Cujo,1983,58,CUJO by Stephen King (1st Draft) [scan].pdf
tt0085750,4449,Jaws 3-D,1983,116,http://www.horrorlair.com/scripts/jaws3_1st_draft.txt
tt0085780,6518,The Keep,1983,,"KEEP, THE (1983) [1982-04-13] Michael Mann - First Draft.pdf"
tt0085794,1071,The King of Comedy,1982,7,"film_20100519/all_imsdb_05_19_10/King-of-Comedy,-The.html"
tt0085859,8562,Local Hero,1983,,Local Hero (1981.11).pdf
tt0086034,6234,Octopussy,1983,187,Octopussy8.19.82Draft.pdf
tt0086066,7119,The Outsiders,1983,70,"Outsiders, The.pdf"
tt0086122,4804,The Ploughman's Lunch,1983,,http://www.dailyscript.com/scripts/ploughmans_lunch.html
tt0086154,8268,Psycho II,1983,88,Psycho 2 (1983) [1982-7-19] [Scan].pdf
tt0086190,1359,Star Wars: Episode VI - Return of the Jedi,1983,853,film_20100519/all_imsdb_05_19_10/Star-Wars-Return-of-the-Jedi.html
tt0086200,7544,Risky Business,1983,175,Risky Business.pdf
tt0086250,1305,Scarface,1983,1,film_20100519/all_imsdb_05_19_10/Scarface.html
tt0086336,4995,Something Wicked This Way Comes,1983,,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Something_Wicked This Way_Comes.pdf
tt0086393,5075,Superman III,1983,165,http://www.scifiscripts.com/scripts/superman3_script.txt
tt0086423,5101,Tender Mercies,1983,,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Tender_Mercies.pdf
tt0086425,5106,Terms of Endearment,1983,298,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Terms_of_Endearment.pdf
tt0086465,7423,Trading Places,1983,249,Trading Places (1982.07).pdf
tt0086510,3635,Under Fire,1983,15,http://www.imsdb.com/Movie Scripts/Under Fire Script.html
tt0086856,640,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,"film_20100519/all_imsdb_05_19_10/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html"
tt0086879,664,Amadeus,1984,,film_20100519/all_imsdb_05_19_10/Amadeus.html
tt0086927,707,Bachelor Party,1984,99,film_20100519/all_imsdb_05_19_10/Bachelor-Party.html
tt0086979,1861,Blood Simple.,1984,4,http://www.dailyscript.com/scripts/blood_simple.html
tt0087050,6538,Children of the Corn,1984,37,childrenofthecorn.pdf
tt0087054,8287,Choose Me,1984,,CHOOSE ME (1984) by Alan Rudolph [Undated] [Scan].pdf
tt0087062,6742,City Heat,1984,99,City Heat (1984.04.06) [Scan].pdf
tt0087182,875,Dune,1984,70,film_20100519/all_imsdb_05_19_10/Dune.html
tt0087262,6539,Firestarter,1984,39,Firestarter.pdf
tt0087332,7290,Ghostbusters,1984,592,GHOSTBUSTERS - 1983.10.07 revision by Harold Ramis & Dan Aykroyd.pdf
tt0087363,971,Gremlins,1984,383,film_20100519/all_imsdb_05_19_10/Gremlins.html
