"author_id","first_name","middle_name","last_name","alt_name","birth_year","death_year","gender"
41,"Dinah","Marie","Craik","Mulock (maiden name)",1826,1887,"F"
42,"Mary","Isabella Irwin","Brotherton","Rees (maiden name)",1820,1910,"F"
43,"Selina",NULL,"Bunbury",NULL,1802,1882,"F"
44,"Henry","James","Byron",NULL,1835,1884,"M"
45,"Isabella","Neil","Harwood","Ross Neil (pseudonym)",1837,1888,"F"
46,"Lady Pamela",NULL,"Campbell","Fitzgerald (maiden name)",1795,1869,"F"
47,"John","Moore","Capes",NULL,1812,1889,"M"
48,"Rosa","Nouchette","Carey",NULL,1840,1909,"F"
49,"Emilie",NULL,"Flygare-Carlén","Smith (maiden name); Flygare (first married name); Carlén (second married name)",1807,1892,"F"
50,"Langford",NULL,"Cecil",NULL,NULL,NULL,"M"
51,NULL,NULL,"Ouida","(pseudonym); Marie Louise de la Ramée (legal name)",1839,1908,"F"
52,"Lady",NULL,"Chatterton","Henrietta Georgiana Marcia Lascelles Iremonger (maiden name); Dering (second married name)",1806,1876,"F"
53,"Julie","Bosville","Chetwynd","Davidson (maiden name); Hon. Mrs. Henry Chetwynd (familiar name)",1828,1901,"F"
54,"Harry","Child","Williamson","Harry Child (pseudonym)",NULL,NULL,"M"
55,"George",NULL,"Cupples",NULL,1822,1891,"M"
56,"Margaret",NULL,"Oliphant","Wilson (maiden name); Margaret Oliphant Wilson Oliphant (legal name); Mrs. Oliphant (familiar name)",1828,1897,"F"
57,"Charles",NULL,"Clarke","The Gentleman in Black (pseudonym)",1815,1870,"M"
58,"Sibella",NULL,"Jones",NULL,NULL,NULL,"F"
59,"Katharine","Sarah","Macquoid","Thomas (maiden name); Gilbert Percy (pseudonym)",1824,1917,"F"
60,"Frederick","William","Robinson","A Prison Matron (pseudonym)",1830,1901,"M"
61,"Ellen","Creathorne","Clayton","Needham (married name)",1834,1900,"F"
62,"Nina",NULL,"Cole",NULL,NULL,NULL,"F"
63,"Charles","James","Collins",NULL,1820,1864,"M"
64,"Edward James","Mortimer","Collins","Robert Turner Cotton (pseudonym)",1827,1876,"M"
65,"Wilkie",NULL,"Collins","William Wilkie Collins (legal name)",1824,1889,"M"
66,"Rev. Albert","Eubule","Evans","Roy Tellet (pseudonym)",1839,1896,"M"
67,"Elizabeth",NULL,"Taylor",NULL,NULL,1879,"F"
68,"Janet",NULL,"Maughan","Story (married name)",1828,1926,"F"
69,"Eliza","Tabor","Stephenson","Tabor (maiden name)",1835,1914,"F"
70,"Edward","Dutton","Cook",NULL,1831,1883,"M"
71,"Julia",NULL,"Corner",NULL,1798,1875,"F"
72,"James",NULL,"Payn",NULL,1830,1898,"M"
73,"Georgiana","Marion","Craik","May (married name)",1831,1895,"F"
74,"Mabel","Sharman","Crawford",NULL,1821,1912,"F"
75,"Daniel",NULL,"Crowberry","(pseudonym?)",NULL,NULL,"M"
76,"Annie",NULL,"Thomas","Mrs. Pender Cudlip (married name)",1838,1918,"F"
77,"Capt. Henry",NULL,"Curling",NULL,1803,1864,"M"
78,"William",NULL,"Cyples",NULL,1831,1882,"M"
79,"Elizabeth",NULL,"Daniel","Spencer (maiden name); Mrs. Robert Mackenzie Daniel (familiar name)",1823,1878,"F"
80,"Baroness",NULL,"Blaze de Bury","Marie Pauline Rose Stuart (maiden name); Hamilton Murray (pseudonym)",1813,1894,"F"
81,"Charlotte","Anne","Smith","Kenner Deene (pseudonym); Maxwell Fox (pseudonym); Hodgkins (married name)",1837,1891,"F"
83,"Earl of",NULL,"Desart","(title); William Ulick O'Connor Cuffe (legal name)",1845,1898,"M"
84,"Thomas",NULL,"Hardy",NULL,1840,1928,"M"
85,"F.",NULL,"Devonshire",NULL,NULL,NULL,"U"
86,"Benjamin",NULL,"Disraeli","1st Earl of Beaconsfield (title)",1804,1881,"M"
87,"Matilda","Barbara","Betham-Edwards",NULL,1836,1919,"F"
88,"Edith","Stewart","Drewry",NULL,1841,1925,"F"
89,"Anna","Harriet","Drury",NULL,1824,1912,"F"
90,"William",NULL,"Duthie",NULL,NULL,NULL,"M"
91,"Amelia","B.","Edwards",NULL,1831,1892,"F"
92,"Henry","Sutherland","Edwards",NULL,1828,1906,"M"
93,"Annie",NULL,"Edwards","Cook (maiden name); Edwardes (alternate spelling)",1830,1896,"F"
94,"Pierce",NULL,"Egan","the Younger (alternate name)",1814,1880,"M"
95,"Mrs.",NULL,"Egerton",NULL,NULL,NULL,"F"
96,"Elizabeth","Darby","Eiloart","Adams (maiden name); Mrs. C. J. G. Eiloart (familiar name)",1827,1898,"F"
98,"Augusta","Jane","Evans","Wilson (married name)",1835,1909,"F"
99,"Sir Martin","Archer","Shee",NULL,1769,1850,"M"
100,"Emily",NULL,"Jolly",NULL,1834,1917,"F"
101,"Eleanor","Frances","Blakiston",NULL,1819,1879,"F"
102,"Emma",NULL,"Robinson",NULL,1814,1890,"F"
103,"William","Morley","Farrow",NULL,1838,1877,"M"
105,"George",NULL,"Eliot","(pseudonym); Mary Anne Evans (legal name); Cross (married name)",1819,1880,"F"
106,"George","Manville","Fenn",NULL,1831,1909,"M"
107,"Fanny","E.","Fisher","Lindsay (maiden name)",NULL,NULL,"F"
108,"Percy","H.","Fitzgerald","Gilbert Dyce (pseudonym)",1834,1925,"M"
109,"Albany","de Grenier de","Fonblanque",NULL,1830,1924,"M"
110,"Archibald",NULL,"Forbes",NULL,1838,1900,"M"
111,"Emily","Feake","Bridges","Sanford (maiden name); Jerdien (first married name); Mrs. Forrester (pseudonym)",1843,1896,"F"
112,"Robert","Edward","Francillon",NULL,1841,1919,"M"
113,"Gustav",NULL,"Freytag",NULL,1816,1895,"M"
114,"James","Hain","Friswell",NULL,1825,1878,"M"
115,"Lady Georgiana",NULL,"Fullerton","Leveson-Gower (maiden name)",1812,1885,"F"
116,"Stephen","Watson","Fullom","S. W. Fullom (familiar name)",1816,1872,"M"
118,"George","W.","Garrett",NULL,NULL,NULL,"M"
119,"Caroline","Leigh","Gascoigne","Smith (maiden name)",1813,1883,"F"
120,"Elizabeth","Cleghorn","Gaskell","Stevenson (maiden name); Mrs. Gaskell (familiar name)",1810,1865,"F"
121,"Charles",NULL,"Gibbon",NULL,1843,1890,"M"
122,"Mary","Ann Danet","Gifford","Norbury (maiden name)",NULL,1871,"F"
123,"William",NULL,"Gilbert",NULL,1804,1890,"M"
124,"Sarah","Jane","Mayne","Leslie Gore (pseudonym)",NULL,NULL,"F"
125,"Thomas","Winter","Wood","Owen Gower (pseudonym)",1818,1905,"M"
126,"Mary","Louisa","Molesworth","Ennis Graham (pseudonym); Stewart (maiden name)",1839,1921,"F"
127,"George",NULL,"Graham",NULL,NULL,NULL,"M"
128,"James",NULL,"Grant",NULL,1822,1887,"M"
129,"Eleanor","Frances","Le Fanu","Russell Gray (pseudonym); Robertson (married name)",1845,1903,"F"
130,"Sarah","Dana","Greenough","Loring (maiden name)",1827,1885,"F"
131,"James",NULL,"Greenwood","Amateur Casual (pseudonym)",1832,1929,"M"
132,"Charles",NULL,"Marshall","Heraclitus Grey (pseudonym)",NULL,NULL,"M"
133,"Catherine","Maria","Grey","Grindall (maiden name); Mrs. Grey (familiar name); Mrs. Colonel Grey (familiar name)",1798,1870,"F"
134,"Cecil",NULL,"Griffith","(pseudonym); Mrs. S. Beckett (legal name)",NULL,1891,"F"
135,"Henry",NULL,"Jackson",NULL,1831,1879,"M"
136,"Philip","Gilbert","Hamerton","A. Segrave (pseudonym)",1834,1894,"M"
137,"Rev. John","H.","Hamilton","N. N. (pseudonym)",1800,1884,"M"
139,"Charlotte",NULL,"Hardcastle","(pseudonym); Charlotte Anne Mousley (legal name)",1831,1876,"F"
140,"Wallace","James","Harding",NULL,1839,1899,"M"
141,"Lady Duffus",NULL,"Hardy","Mary Anne MacDowell (maiden name); Addlestone Hill (pseudonym)",1824,1891,"F"
142,"Gabriel","H.","Harwood",NULL,NULL,NULL,"M"
143,"John","Berwick","Harwood",NULL,1828,1899,"M"
144,"Joseph",NULL,"Hatton",NULL,1841,1907,"M"
145,"William","Carew","Hazlitt",NULL,1834,1913,"M"
146,"Mary",NULL,"Healy","Bigot (married name); Jeanne Mairet (pseudonym)",1843,1936,"F"
147,"Arnold",NULL,"Heath",NULL,NULL,NULL,"M"
148,"Samuel","Bracebridge","Hemyng",NULL,1841,1901,"M"
149,"George","Alfred","Henty","G. A. Henty (familiar name)",1832,1902,"M"
150,"Frances","Cashel","Hoey","Frances Sarah Johnston (maiden name)",1830,1908,"F"
151,"Henry",NULL,"Holl",NULL,1809,1884,"M"
152,"Augusta",NULL,"Webster","Cecil Home (pseudonym); Julia Augusta Davies (maiden name)",1837,1894,"F"
153,"Matilda",NULL,"Homersham",NULL,NULL,NULL,"F"
154,"Ethel",NULL,"Hone",NULL,NULL,NULL,"F"
155,"Tom",NULL,"Hood",NULL,1835,1874,"M"
156,"Lewis",NULL,"Hough",NULL,1829,1909,"M"
157,"Mary",NULL,"Howitt","Botham (maiden name)",1799,1888,"F"
158,"William",NULL,"Howitt",NULL,1792,1879,"M"
159,"John","Cordy","Jeaffreson",NULL,1831,1901,"M"
160,"Elizabeth","Janet","Jenings","Plues (maiden name); Wickliffe Lane (pseudonym)",1818,1863,"F"
161,"Henrietta","Camilla","Jenkin","Jackson (maiden name); Mrs. Henry Jenkin (familiar name)",1807,1885,"F"
162,"William","Blanchard","Jerrold",NULL,1826,1884,"M"
163,"Thomas","Mason","Jones",NULL,1833,1873,"M"
164,"Julia",NULL,"Kavanagh",NULL,1824,1877,"F"
165,"Annie",NULL,"Keary",NULL,1825,1879,"F"
166,"Conway",NULL,"Keith",NULL,NULL,NULL,"M"
167,"Ellinor","J.","Kelly",NULL,NULL,NULL,"F"
168,"Alice",NULL,"King",NULL,1839,1894,"F"
169,"Henry",NULL,"Kingsley",NULL,1830,1876,"M"
170,"Charles","F.","Kirby",NULL,NULL,NULL,"M"
171,"Legh",NULL,"Knight","Annie Louisa Legh Knight (legal name)",1831,1884,"F"
172,"William","Wallingford","Knollys","Captain Knollys (familiar name); Colonel Knollys (familiar name)",1833,1904,"M"
174,"Elleray",NULL,"Lake","(pseudonym?); Mrs. David Armstrong (married name)",NULL,NULL,"F"
176,"Robert",NULL,"Hudson",NULL,1834,1898,"M"
178,"J.","Sheridan","Le Fanu","Joseph Thomas Sheridan Le Fanu (legal name)",1814,1873,"M"
179,"Mark",NULL,"Lemon",NULL,1809,1870,"M"
180,"Lady Emma",NULL,"Barrett-Lennard","Wood (maiden name)",1832,1916,"F"
181,"Lord William","Pitt","Lennox",NULL,1799,1881,"M"
182,"Charles","James","Lever",NULL,1806,1872,"M"
183,"Eliza","Lynn","Linton","Lynn (maiden name)",1822,1898,"F"
184,"Albyn",NULL,"Locke","(pseudonym?); Mrs. A. Locke (alternate name)",NULL,NULL,"F"
185,"Arthur",NULL,"Locker","J. H. Forbes (pseudonym)",1828,1893,"M"
186,"John","Ingram","Lockhart",NULL,1812,1889,"M"
187,"Langton",NULL,"Lockhart",NULL,NULL,NULL,"M"
188,"Lawrence","William Maxwell","Lockhart",NULL,1831,1882,"M"
189,"Edmond","Brenan","Loughnan",NULL,NULL,NULL,"M"
190,"George","Thomas","Lowth",NULL,1808,1893,"M"
191,"Frank",NULL,"Lyfield",NULL,NULL,NULL,"M"
192,"William","Gayer","Starbuck",NULL,NULL,NULL,"M"
193,"Julia","Cecilia","Stretton","Collinson (maiden name); Wilkins (first married name); Julia De Winton (pseudonym)",1812,1876,"F"
194,"Justin",NULL,"McCarthy",NULL,1830,1912,"M"
195,"George",NULL,"MacDonald",NULL,1824,1905,"M"
196,"Matilda","Anne","Mackarness","Planché (maiden name)",1825,1881,"F"
197,"Sarah","Anne","Jeffreys","Arnold (married name); Alton Clyde (pseudonym)",1836,1888,"F"
198,"John","Francis","Maguire",NULL,1815,1872,"M"
199,"Blanche",NULL,"Marryat","Charlotte Blanche Marryat (alternate name); Mrs. Lynal Thomas (married name)",1827,NULL,"F"
200,"Florence",NULL,"Marryat","Mrs. Thomas Ross Church (first married name); Mrs. Francis Lean (second married name)",1833,1899,"F"
201,"Anne",NULL,"Marsh","Sara Anne Caldwell (maiden name); Marsh-Caldwell (later name)",1791,1874,"F"
202,"Frederick","Joseph","Martin",NULL,1830,1883,"M"
203,"Edward",NULL,"Massie",NULL,NULL,NULL,"M"
204,"Richard","Steel","Maurice",NULL,1827,1868,"M"
205,"Augustus",NULL,"Mayhew","Brothers Mayhew (pseudonym)",1826,1875,"M"
206,"George","John","Whyte-Melville",NULL,1821,1878,"M"
207,"George",NULL,"Meredith",NULL,1828,1909,"M"
208,"Fanny","Charlotte","Montgomery","Wyndham (maiden name)",1820,1893,"F"
209,"Susanna",NULL,"Moodie","Strickland (maiden name)",1803,1885,"F"
210,"William","Bramley","Moore",NULL,1831,1918,"M"
211,"Harry",NULL,"Moreland",NULL,NULL,NULL,"M"
212,"Henry",NULL,"Morford",NULL,1823,1881,"M"
213,"Elizabeth","Alice","Murray","Poiter (maiden name)",1820,1877,"F"
215,"Emma",NULL,"Newby","Barry (maiden name); Emma Warburton (pseudonym); Mrs. C. J. Newby (familiar name)",1825,1899,"F"
216,"Menella","Bute","Smedley",NULL,1820,1877,"F"
217,"James",NULL,"Hutchings","Harry Neville (pseudonym)",NULL,NULL,"M"
218,"Hugh",NULL,"Neville",NULL,NULL,NULL,"M"
219,"Rhoda",NULL,"Broughton",NULL,1840,1920,"F"
220,"Caroline","Sheridan","Norton","Sheridan (maiden name); Hon. Mrs. C. E. S. Norton (married name)",1808,1877,"F"
221,"Burke",NULL,"O'Farrell","(pseudonym); Christiana Elizabeth Rufford (maiden name); Jeffery (married name)",1846,1936,"F"
222,"Caroline","Elizabeth","Okeden","Rhys (maiden name); Mrs. Fitzmaurice Okeken (familiar name)",1821,1903,"F"
223,"Alicia","Ellen Neve","Little","Bewicke (maiden name); Mrs. Archibald Little (familiar name)",1845,1926,"F"
224,"Armar",NULL,"Greye","(pseudonym); Mrs. Maria Greer (legal name)",NULL,NULL,"F"
225,"Emily",NULL,"Owen","Montague (maiden name); Mrs. O. F. Owen (married name)",1822,1885,"F"
226,"Annie",NULL,"Tinsley","Turner (maiden name)",1808,1885,"F"
227,"Matilda","Charlotte","Houstoun","Mrs. Houstoun (familiar name)",1815,1892,"F"
228,"John",NULL,"Saunders",NULL,1811,1895,"M"
229,"William","Knox","Wigram","A Barrister (pseudonym)",1825,1885,"M"
230,"Lillian",NULL,"Spender","Headland (maiden name); Mrs. John Kent Spender (familiar name)",1835,1895,"F"
231,"Eustace Clare","Grenville","Murray","Mark Hope (pseudonym); The Roving Englishman (pseudonym); Trois-Etoiles (pseudonym)",1819,1881,"M"
232,"Louisa",NULL,"Parr","Taylor (maiden name); Mrs. Olinthus Lobb (pseudonym)",1848,1903,"F"
233,"Gertrude",NULL,"Parsons","Hext (maiden name)",1812,1891,"F"
234,"Elizabeth",NULL,"Paulet","Newton (maiden name)",1806,1879,"F"
235,"Edward",NULL,"Peacock",NULL,1831,1915,"M"
236,"William",NULL,"Pickersgill",NULL,NULL,NULL,"M"
237,"H.","Bouverie","Pigott",NULL,NULL,NULL,"F"
239,"William",NULL,"Platt",NULL,1808,1883,"M"
240,"Lady Emily",NULL,"Ponsonby",NULL,1817,1877,"F"
241,"Iltudus","Thomas","Prichard",NULL,1826,1874,"M"
242,"G.",NULL,"Prole",NULL,NULL,NULL,"U"
243,"Mrs. Edward",NULL,"Pulleyne",NULL,NULL,NULL,"F"
244,"Noell",NULL,"Radecliffe","(pseudonym)",NULL,NULL,"M"
245,"Elizabeth","P.","Ramsay","Ramsay-Laye (married name); Isabel Massary (pseudonym)",1832,1932,"F"
246,"Kathleen",NULL,"O'Meara","Grace Ramsay (pseudonym)",1839,1888,"F"
247,"Charles",NULL,"Reade",NULL,1814,1884,"M"
248,"Cyrus",NULL,"Redding",NULL,1785,1870,"M"
249,"Capt. Mayne",NULL,"Reid",NULL,1818,1883,"M"
250,"David",NULL,"Rice",NULL,NULL,NULL,"M"
251,"Alfred","Bate","Richards",NULL,1820,1876,"M"
252,"Charlotte","Elizabeth","Riddell","Cowan (maiden name); Rainey Hawthorne (pseudonym); R.V.M. Sparling (pseudonym); F.G. Trafford (pseudonym)",1832,1906,"F"
253,"Julius",NULL,"Rodenberg",NULL,1831,1914,"M"
254,"Charles","Henry","Ross",NULL,1835,1897,"M"
256,"William","Clark","Russell","Sydney Mostyn (pseudonym); Eliza Rhyl Davies (pseudonym); Philip Sheldon (pseudonym)",1844,1911,"M"
257,"William","Howard","Russell",NULL,1820,1907,"M"
258,"Barbara",NULL,"Gunn",NULL,1837,NULL,"F"
259,"Mrs.",NULL,"Pemberton","(pseudonym); H. Pemberton (pseudonym); Helen Etough Crookshank (maiden name); Gipps (married name); Hume (alternate name); Dick (alternate name)",1830,1877,"F"
260,"Frances",NULL,"Browne",NULL,1816,1879,"F"
261,"Frances",NULL,"Brough","Whiteside (maiden name)",1803,1897,"F"
262,"Catherine","Simpson","Wynne","Jessopp (maiden name)",1817,1905,"F"
263,"Isa",NULL,"Blagden","Isabella Jane Blagden (legal name); Ivory Beryl (pseudonym)",1817,1873,"F"
264,"James","Torrington","Newell",NULL,NULL,NULL,"M"
265,"James","Augustus","St. John",NULL,1801,1875,"M"
266,"Eden",NULL,"St Leonards",NULL,NULL,NULL,"U"
267,"George","Augustus","Sala","Benedict Cruiser (pseudonym)",1828,1895,"M"
268,"Epes",NULL,"Sargent",NULL,1813,1880,"M"
269,"W.","H. Patten","Saunders","Capt. Patten Saunders, K.C.G. (familiar name)",NULL,NULL,"M"
270,"Marmion","Wilme","Savage",NULL,1804,1872,"M"
271,"Hon. Charles","Stuart","Savile",NULL,1816,1870,"M"
272,"Carl","Henrik","Scharling",NULL,1836,1920,"M"
273,"Maria","Sophie","Schwartz","Birath (maiden name)",1819,1894,"F"
275,"Henry",NULL,"Sedley",NULL,1835,1899,"M"
276,"Alexander","Innes","Shand",NULL,1832,1907,"M"
278,"Hawley",NULL,"Smart","Henry Hawley Smart (legal name)",1833,1893,"M"
280,"Harriet","Maria","Smythies","Gordon (maiden name); Mrs. Yorick Smythies (familiar name)",1813,1883,"F"
281,"Thomas","Wilkinson","Speight",NULL,1830,1915,"M"
282,"Catherine","Helen","Spence",NULL,1825,1910,"F"
283,"Leigh",NULL,"Spencer",NULL,NULL,NULL,"F"
285,"Anna","Caroline","Steele","Wood (maiden name)",1841,1920,"F"
286,"William","J.","Stewart",NULL,NULL,NULL,"M"
287,"Gustave","Louis Maurice","Strauss","The Old Bohemian",1807,1887,"M"
289,"Hesba",NULL,"Stretton","Sarah Smith (legal name)",1832,1911,"F"
290,"Agnes",NULL,"Strickland",NULL,1796,1874,"F"
291,"Edward","Campbell","Tainsh",NULL,1835,1919,"M"
292,"Bayard",NULL,"Taylor",NULL,1825,1878,"M"
293,"Philip","Meadows","Taylor","Capt. Meadows Taylor (familiar name)",1808,1876,"M"
294,"William","Moy","Thomas",NULL,1828,1910,"M"
295,"Katherine",NULL,"Thomson","Byerley (maiden name); Grace Wharton (pseudonym)",1797,1862,"F"
296,"Walter",NULL,"Thornbury",NULL,1828,1876,"M"
297,"Lady  Charles",NULL,"Thynne","Harriet Frances Bagot (maiden name)",1816,1881,"F"
299,"George","Loftus","Tottenham",NULL,1844,1910,"M"
301,"Anthony",NULL,"Trollope",NULL,1815,1882,"M"
302,"Frank",NULL,"Trollope",NULL,NULL,NULL,"M"
303,"Thomas","Adolphus","Trollope",NULL,1810,1892,"M"
304,"Owyn",NULL,"Mor","(pseudonym)",NULL,NULL,"U"
305,"Henrietta",NULL,"Keddie","Sarah Tytler (pseudonym)",1827,1914,"F"
306,"Joseph",NULL,"Verey",NULL,1830,1912,"M"
307,"Sir Francis",NULL,"Vincent",NULL,1803,1880,"M"
308,"Mrs.",NULL,"Waller",NULL,NULL,NULL,"F"
309,"Hugh","Mulleneux","Walmsley",NULL,1822,1881,"M"
310,"Hon. Frederick",NULL,"Walpole",NULL,1822,1876,"M"
311,"W.","W.","Walpole",NULL,NULL,NULL,"U"
312,"Adeline","Dutton Train","Whitney",NULL,1824,1906,"F"
313,"S.","Russell","Whitney",NULL,NULL,NULL,"M"
314,"Miss",NULL,"Whitty",NULL,NULL,NULL,"F"
315,"Edward",NULL,"Wilberforce",NULL,1834,1914,"M"
317,"William",NULL,"Kirkus","Florence Williamson (pseudonym)",1830,1907,"M"
318,"William","Gorman","Wills",NULL,1828,1891,"M"
319,"Emma","Caroline","Wood","Lady Wood (familiar name); Mitchell (maiden name); C. Sylvester (pseudonym)",1802,1879,"F"
320,"Ellen",NULL,"Wood","Price (maiden name); Mrs. Henry Wood (familiar name)",1814,1887,"F"
321,"Hon. Isabella","Letitia","Woulfe","Graves (maiden name)",1817,1870,"F"
323,"Sir Lascelles",NULL,"Wraxall","Frederic Charles Lascelles Wraxall (legal name)",1828,1865,"M"
324,"Thomas",NULL,"Wright","The Journeyman Engineer (pseudonym)",1839,1909,"M"
325,"Edmund","Hodgson","Yates",NULL,1831,1894,"M"
326,"Bertha","Jane","Adams","Grundy (maiden name); Mrs. Leith Adams (first married name); Mrs. De Courcy Laffan (second married name)",1837,1912,"F"
327,"Francis",NULL,"Addison",NULL,NULL,NULL,"M"
328,"Frederic",NULL,"Adye",NULL,NULL,NULL,"M"
329,"W.","W.","Aldred",NULL,NULL,NULL,"U"
330,"George","Gardiner","Alexander","Major-General (rank)",1821,1897,"M"
331,"Mrs.",NULL,"Alexander","(pseudonym); Annie French (maiden name); Hector (married name)",1825,1902,"F"
332,"James","McGrigor","Allan",NULL,1827,1916,"M"
333,"Lizzie",NULL,"Alldridge",NULL,1840,1928,"F"
335,"Grant",NULL,"Allen","Charles Grant Blairfindie Allen (legal name); J. Arbuthnot Wilson (pseudonym); Cecil Power (pseudonym); Olive Pratt Rayner (pseudonym)",1848,1899,"M"
336,"William",NULL,"Allison","Blinkhoolie (pseudonym)",1851,1923,"M"
337,"F.",NULL,"Anstey","(pseudonym); Thomas Anstey Guthrie (legal name)",1856,1934,"M"
338,"William","Dutton","Burrard","Aramis (pseudonym)",1861,1938,"M"
339,NULL,NULL,"Asmodeus","(pseudonym)",NULL,NULL,"U"
340,"James",NULL,"Baker",NULL,1847,1920,"M"
341,"Louisa",NULL,"Baldwin","Macdonald (maiden name)",1845,1925,"F"
342,"Sabine",NULL,"Baring-Gould",NULL,1834,1924,"M"
343,"Frank",NULL,"Barrett","(pseudonym); Frank Davis (legal name)",1845,1926,"M"
344,"Ellen",NULL,"Baseley","Mignon (pseudonym)",1844,1907,"F"
345,"R.",NULL,"Bates",NULL,NULL,NULL,"F"
346,"Frank","Lee","Benedict",NULL,1834,1910,"M"
347,"Louise","Winifred","Berens","Aureole (pseudonym); Stewart (maiden name)",1849,1929,"F"
348,"Flora","Matilda","Hayter","Mrs. Beresford (pseudonym?); Montanaro (married name); Wilson (married name); Ames (married name)",1864,1959,"F"
349,"Alexander","James","Beresford-Hope",NULL,1820,1887,"M"
350,"Alice",NULL,"Bernard",NULL,NULL,NULL,"F"
351,"Walter",NULL,"Besant","Sir Walter Besant (after 1895)",1836,1901,"M"
352,"Jeanie","Gwynne","Bettany","Gwynne (maiden name); Kernahan (second married name)",1857,1941,"F"
354,"Walter","Lionel","Bicknell","Austin Pember (pseudonym)",1853,1895,"M"
355,"Ellice",NULL,"Bingham",NULL,NULL,NULL,"F"
356,"Elizabeth","Owens","Blackburne","(pseudonym); Elizabeth O'B. Casey (legal name)",1848,1894,"F"
357,"Gertrude","Mary Ireland","Blackburne",NULL,1862,1951,"F"
358,"Charlotte","Gibson","Boger","Allen (maiden name)",1826,NULL,"F"
359,"Rolf",NULL,"Boldrewood","(pseudonym); Thomas Alexander Browne (legal name)",1826,1915,"M"
360,"Eliza","Margaret von","Booth","Rita (pseudonym); Gollan (maiden name); Mrs. Otto von Booth (first married name); Mrs. W. Desmond Humphreys (second married name)",1850,1938,"F"
362,"Émile",NULL,"Boucher",NULL,NULL,NULL,"M"
363,"Frederick",NULL,"Boyle",NULL,1841,1914,"M"
364,"Emily","Clare","Boyse","Harvey (maiden name)",1845,1916,"F"
365,"John",NULL,"Bradshaw",NULL,NULL,NULL,"M"
366,"Mrs. John",NULL,"Bradshaw","Wilmot (maiden name)",NULL,NULL,"F"
367,"Margaret","W.","Brew",NULL,1850,1905,"F"
368,"Laurence",NULL,"Brooke",NULL,NULL,NULL,"M"
369,"James","Fox","Brough",NULL,1842,1923,"M"
370,"I.","Henderson","Browne",NULL,NULL,NULL,"F"
371,"Jemmett","Jemmett","Browne",NULL,1832,1897,"M"
